name,href,address
La Ozen Asian Fusion,https://www.delivery.com/cities/nyc/categories/restaurant/ozen-asian-fusion,760 Amsterdam Ave (Corner of 97th St.)
Olympic Flame Diner,https://www.delivery.com/cities/nyc/categories/restaurant/olympic-flame-diner,200 W 60th St (Corner of Amsterdam Ave.)
Big Nick's Pizza & Burger Joint,https://www.delivery.com/cities/nyc/categories/restaurant/big-nicks-pizza-burger-joint,70 W 71st St (At Columbus Street)
Giovanni's Italian Restaurant & Pizzeria,https://www.delivery.com/cities/nyc/categories/restaurant/giovannis-italian-restaurant-pizzeria,1011 Columbus Ave (Corner of 110th Street)
94 Corner Cafe,https://www.delivery.com/cities/nyc/categories/restaurant/94-corner-cafe,2518 Broadway (94th st)
Hunan Chen's Kitchen,https://www.delivery.com/cities/nyc/categories/restaurant/hunan-chens-kitchen,1003A Columbus Ave (Between 109th & 110th Street)
Chirping Chicken,https://www.delivery.com/cities/nyc/categories/restaurant/chirping-chicken,355 Amsterdam Ave (on 77th)
Empire Szechuan,https://www.delivery.com/cities/nyc/categories/restaurant/empire,2642 Broadway (Corner of 100th Street)
Legend Upper West,https://www.delivery.com/cities/nyc/categories/restaurant/legend-upper-west,258 W 109th St (Broadway)
Empire Szechuan Kyoto Sushi,https://www.delivery.com/cities/nyc/categories/restaurant/empire-szechuan-kyoto-sushi,193 Columbus Ave (Between 68th and 69th St.)
Taqueria y Fonda La Mexicana,https://www.delivery.com/cities/nyc/categories/restaurant/taqueria-y-fonda-la-mexicana,968 Amsterdam Ave (Between 107 and 108th St.)
Texas Rotisserie,https://www.delivery.com/cities/nyc/categories/restaurant/texas-rotisserie,2581 Broadway (At 97th Street)
Long Grain Thai & Japanese,https://www.delivery.com/cities/nyc/categories/restaurant/long-grain-thai-japanese,2534 Broadway (Between West 94th & 95th St.)
Suma Sushi,https://www.delivery.com/cities/nyc/categories/restaurant/suma-sushi,964 Amsterdam Ave (Between 107th and 108th Street)
Concord Garden,https://www.delivery.com/cities/nyc/categories/restaurant/concord-garden,990 Amsterdam Ave (109 & 108 St)
Wondee Siam V,https://www.delivery.com/cities/nyc/categories/restaurant/wondee-siam-v,969 AMSTERDAM AVE (Between 107 & 108th Street)
Lime Leaf,https://www.delivery.com/cities/nyc/categories/restaurant/lime-leaf-w-72nd-st,128 W 72nd St (Amsterdam & Columbus)
Kumo,https://www.delivery.com/cities/nyc/categories/restaurant/kumo-japanese-restaurant,165 W 72nd St (Corner of 72nd. St. & Amsterdam Ave.)
Viand Cafe,https://www.delivery.com/cities/nyc/categories/restaurant/viand-cafe,2130 Broadway (Corner of 75th and Broadway)
Tropical Sensation Restaurant,https://www.delivery.com/cities/nyc/categories/restaurant/tropical-sensation-restaurant,953 Amsterdam Ave (107 st)
Gabriela's Restaurant & Tequila Bar,https://www.delivery.com/cities/nyc/categories/restaurant/gabrielas-restaurante-tequila-bar,688 Columbus Ave (93rd & 94th St)
Jackson Hole,https://www.delivery.com/cities/nyc/categories/restaurant/jackson-hole,517 Columbus Ave (85th St and Columbus)
Mamma's Famous Pizza and Pasta,https://www.delivery.com/cities/nyc/categories/restaurant/mammas-famous-pizza-and-pasta,2345 Broadway (Between 85th & 86th Street)
Spice Thai,https://www.delivery.com/cities/nyc/categories/restaurant/spice-thai-amsterdam-ave,435 AMSTERDAM AVE (Corner of W 81st St)
Cafe 71,https://www.delivery.com/cities/nyc/categories/restaurant/cafe-71,2061 Broadway (Corner of 71st Street)
Amber,https://www.delivery.com/cities/nyc/categories/restaurant/amber-columbus-ave,221 Columbus Ave (West 70th and West 71st Streets)
Columbus Gourmet Food,https://www.delivery.com/cities/nyc/categories/restaurant/columbus-gourmet-food,261 Columbus Ave (Between 72nd and 73rd St.)
Two Boots - UWS,https://www.delivery.com/cities/nyc/categories/restaurant/two-boots-uws,2547 Broadway (Between 95th St & 96th St)
Opai Thai,https://www.delivery.com/cities/nyc/categories/restaurant/opai-thai,722 Amsterdam Ave (W. 95th St.)
West Side Cafe,https://www.delivery.com/cities/nyc/categories/restaurant/west-side-cafe-10023,218 W 72nd St (Between Broadway & West End)
Indus Valley,https://www.delivery.com/cities/nyc/categories/restaurant/indus-valley,2636 Broadway (100th Street & Broadway)
Aangan,https://www.delivery.com/cities/nyc/categories/restaurant/aangan,2701 Broadway (Between 103rd & 104th)
New Kam Lai,https://www.delivery.com/cities/nyc/categories/restaurant/new-kam-lai,514 Amsterdam Ave (85th Street)
Daniello's Pizzeria,https://www.delivery.com/cities/nyc/categories/restaurant/daniellos-pizzeria,70 W 95th St (95th & Columbus Ave.)
